PromptID,PMCID,Outcome,Intervention,Comparator
1101,4109867,Meat cholesterol concentration,2% seamustard,basal diet
1104,4109867,"saturated fatty acids (SFA), unsaturated fatty acids, poly unsaturated fatty acid (PUFA) or mono unsaturated fatty acid content in muscles",2% seamustard,basal diet
1106,5064802,Postoperative troponin T,Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.,no helium
1107,5064802,"activation of p38 MAPK, ERK 1/2 or levels of HSP27 and PKC-? in the human heart",Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.,no helium
1111,4940009,grade 2 of POM,"Group K, 0.5 mg/kg of ketamine was injected intravenously,","Group N, the same volume (5 mL) of normal saline was injected"
1113,3423952,"erythrocyte SOD, total glutathione, glutathione peroxidase, gene transcripts for interferon-gamma, interleukin-10, and interleukin-1? in blood",exercise,no exercise
1114,3423952,plasma nitric oxide,exercise,no exercise
1115,3423952,"chondroitin sulfate-846 (CS) in synovial fluid (SF) and adjusted-PGE2, ",exercise,no exercise
1122,5489138,confirmed disability progression,"timed 25-foot walk [T25FW],",9-hole peg test [9HPT]
1126,3611646,high density lipoprotein (HDL),"administered with the Granules of Guduchyadi Medhya Rasayana (GMR), which contains Guduchi (Tinospora cordifolia Wild.), Apamarga (Achyranthes aspera Linn.), Vidanga (Embelia ribes Burm. f.), Shankhapushpi (Convolvulus pluricaulis Chois.), Vaca (Acorus calamus Linn.), Haritaki (Terminalia chebula Zetz.), Kushtha (Saussurea lappa C.B. Clarke), Shatavari (Asparagus racemosus Wild.), Cow's ghee and sugar.",administered Sarkaradi Granules (SG).
1128,5936036,drop-out rates,simplified cognitive behavioral therapy (SCBT) on generalized anxiety disorder (GAD),the SCBT with medication group or regular medication group
1129,5936036,"quality of treatment, the duration and the number of session, or whether their expectations for treatment had been met.",simplified cognitive behavioral therapy (SCBT) on generalized anxiety disorder (GAD),the SCBT with medication group 
1130,5225252,Gag-specific IFN-? enzyme-linked immunospot–determined response rates and geometric mean responses,groups primed with SeV-Gag and boosted with Ad35-GRIN (SLA and SHA),a single dose of Ad35-GRIN or SeV-Gag
1132,5225252,The GMTs,ASH group,"SLA, SHA, SHSH, and placebo groups,"
1136,4627811,Quality of life,high-intensity interval training (HIT) for 12-weeks in patients NYHA II-III,continuous training (CT) 12-weeks inpatients NYHA II-III
1141,3895597,The incidence of adverse events,tiropramide 100,octylonium 20 mg
1142,3895597,the degree of symptom reduction in abdominal pain using symptom diaries from week 1 ,tiropramide 100,octylonium 20 mg
1144,4893237,mortality in old people with femoral neck fracture.,pulmonary emboli or cancer or cardiac failure or cardiovascular disease or dementia or dependence in P-ADL,no comorbidities
1145,5851630,absolute beta power (ABP) after exercise,Taurine combined with Ethanol (TA+ET),Placebo—PL
1156,3296686,HCV RNA at day-14,Pioglitazone (30 mg/day for 14 days),baseline
1158,3296686,day-14 fasting serum glucose and the 2-hr glucose (Glucose-120 min) after an OGTT ,Pioglitazone (30 mg/day for 14 days),baseline
1165,4223523,awake time,olanzapine,placebo
1168,5354011,willingness?to?pay.,after treatment ,before treatment
1173,4821313,the pH of urine,sodium bicarbonate solution using the short regimen (intravenous bolus 3 mL/kg/h of 166 mEq/L sodium bicarbonate for 1 hour immediately before radiocontrast),sodium bicarbonate solution using the long regimen (initial intravenous bolus of 3 mL/kg/h of 166 mEq/L sodium bicarbonate for 6 hr).
1174,4821313,serum creatinine,sodium bicarbonate solution using the short regimen (intravenous bolus 3 mL/kg/h of 166 mEq/L sodium bicarbonate for 1 hour immediately before radiocontrast),sodium bicarbonate solution using the long regimen (initial intravenous bolus of 3 mL/kg/h of 166 mEq/L sodium bicarbonate for 6 hr).
1177,3752932,"mean volume voided/micturition, mean level of urgency, mean number of urgency episodesand mean number of urgency incontinence episodes/24 h",mirabegron (50 and 100 mg),placebo
1180,5002324,the limits of stability (LOS) performance and one-leg stance (OLS) tests,a balance-based exergaming group for an 8-week balance training period.,a balance training group for an 8-week balance training period.
1189,5122238,"Mean central temperature, Mean peripheral temperature, Mean blood pressure, Mean heart rate",received 1 mg/kg and 2 mg/kg hydrocortisone,received normal saline
1191,3743641,mean daily number of moderate to severe hot flushes at week 12,"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1192,3743641,mean proportion of superficial cells,"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1193,3743641,reduction from baseline in the mean proportion of parabasal cells,"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1195,3743641,vaginal pH,"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1198,3743641,sexual function and total scores,"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1199,3743641,lumbar spine bone mineral density (BMD),"BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1201,3743641,"risk for serious adverse events, such as venous thromboembolism, cardiovascular events, endometrial cancer, or breast cancer,","BZA/CE combines bazedoxifene (BZA), a selective estrogen receptor modulator, with conjugated estrogens (CE),",placebo
1203,4280954,serum glucose,"high-fat diet enriched with ground flaxseed 15 g/100 g of food, rich in ALA; or enriched with vitamin E, 40 mg ?-tocopherol/100 g of food","received a high-fat diet (40% energy as fat), deficient in ?-linolenic acid (ALA) "
694,2858204,complete healing of the index ulcer at 1-year of follow-up,hyperbaric oxygen therapy,placebo
1208,4526336,proportion of words out of the total number of words,mild cognitive impairment (MCI),healthy
1210,4306068,The mean timing to analgesic administration,pain score display group,not displayed in the control.
865,5680306,Serum 25(OH)D concentrations,"vitamin D group receiving an initial bolus dose of 100,000 IU (in 2 capsules) followed by 4,000 IU (in 4 capsules) of cholecalciferol daily","the placebo group receiving an equivalent number of identical placebo capsules, which were continued daily for a period of 16 weeks"
882,5539984,prevalence of psychiatric inpatient admission,The Network for Mental Health (NWpG-IC),standard mental health care
883,5539984,reduction of total needs and the increase of met needs,The Network for Mental Health (NWpG-IC),standard mental health care
891,5519461,Eradication of H. pylori with homo EM genotype and those with hetero IM or PM genotype.,"amoxicillin (750 mg), clarithromycin (200 mg), and either esomeprazole (20 mg) (EAC group), twice a day for one week.","amoxicillin (750 mg), clarithromycin (200 mg), and rabeprazole (10 mg) (RAC group), twice a day for one week."
892,5618071,"ADI-R (algorithm for current condition), the Autism Behavioral Checklist (ABC), and the Autism Treatment Evaluation Checklist (ATEC) after 1 month",after Non-Invasive Brain Stimulation (NIBS),before Non-Invasive Brain Stimulation (NIBS)
896,4140547,Mean calculated GFR at 1 year.,belatacept groups,tacrolimus groups
900,1198254,Total Antioxidative Activity,L. fermentum ME-3 fermented goat milk,goat milk
925,5295802,"all ten cytokines/growth factors - IL-1, IL-1?, IL-6, IL-8, IL-1Ra, interferon-? (IFN-?), tumor necrosis factor-? (TNF-?), EGF, TGF-?, and vascular endothelial growth factor (VEGF)",after intervention,before intervention
934,4264479,blood-stage infection,"aseptic, cryopreserved P. falciparum sporozoites (PfSPZ Challenge)",nothing
936,4918678,Writing,soundfield amplification devices in the classroom,nothing
961,2656477,depression,lost weight,no weight lost
967,5372931,"flavonols, valerolactones, benzoic acids, cinnamic acids, phenylacetic acids, benzaldehydes ",cranberry juices,nothing
968,5372931,12 (poly)phenol metabolites,cranberry juices,nothing
969,3491047,Short-term adherence to the program at 3 months,Walking and Behavioural intervention (WB),Self-directed control (C)
971,3491047,Total adherence to the program,Walking and Behavioural intervention (WB),Self-directed control (C)
976,3798949,Extra clinic visits and CT scans assessments,"Academic, non-commercial sponsored trials",Commercial sponsored trials
979,5619630,Improvement in Presumptive Stressful Life Events Scale,Medication plus exercise,Medication only
980,5619630,Relapse rates,Medication plus exercise,Medication only
981,5490116,Glucometric random blood sugar at 24 hours,"Ropivacaine 0.2%, and intravenous injection dexamethasone 8 mg (Group B)",Ropivacaine 0.2% with injection dexamethasone 8 mg (Group C)
987,2920262,Improvement in HAD anxiety score,Singing classes,Usual care
993,3074545,Depression mean scores,Non-professional mentor support,Non-mentored group
1001,3878029,Cigarettes smoked per day,Hypnotherapy,Relaxation
1009,5003313,Symptom severity after 4 weeks ,Stretching exercises,No exercises
1013,5018157,Five-minute Apgar score,Low-dose bupivacaine spinal anesthesia in pre-eclamptic parturients,Low-dose bupivacaine spinal anesthesia in healthy parturients
1015,5101425,Bleeding rate after surgery,Desmopressin,Placebo
1017,5101425,Hb levels,Desmopressin,Placebo
1020,3159986,Lung function parameters,Respiratory muscle endurance training,Baseline characteristics
1022,4895766,Healing of diabetic wounds,Katupila Kalka with Tila Taila,Betadine ointment
1027,4486943,Time to relapse,Technology Enhanced Quitline-10 and Technology Enhanced Quitline-20,Standard quitline treatment
1030,4221638,Risk of death,Tranexamic acid,Placebo
1031,4221638,Risk of thromboembolic events,Tranexamic acid,Placebo
1033,4138383,Negative feelings,Self-referral treatment,Inpatient treatment
1036,4588874,Baseline nicotine concentrations,E-cigarettes ,Conventional tobacco cigarette
1063,5100099,Peak inspiratory pressures,Neurally Adjusted Ventilatory Assist,Conventional Ventilation
1069,4821226,clinical outcome,core decompression with the application of bone marrow aspirate concentrate,core decompression only
1077,4667210,"The intensity of the MSG symptom complex (characterized by unpleasant reactions such as numbness, tingling, headaches, muscle tightness, general weakness, and flushing )",Capsules (300 mg) containing Lactobacillus brevis G101 (1×1010 CFU/individual),maltodextrin (placebo)
1085,5610854,Cataract progression,laser peripheral iridotomy (LPI) group 1,primary trabeculectomy group 2
1092,2644667,mean ± SD investigator global assessment scores,hydromorphone,morphine
1093,2644667,mean scores for the secondary efficacy variables and MMSE and ECOG scores,hydromorphone,morphine
1094,2644667,'pain now PM',hydromorphone,morphine
1096,4109867,average daily gain (ADG) of Hanwoo steers,2% seamustard,basal diet
1103,4109867,concentration of stearic acid (C18:0) and linolenic acid (C18:3n-3),2% seamustard,basal diet
1108,4940009,Postoperative myalgia (POM),"Group K, 0.5 mg/kg of ketamine was injected intravenously,","Group N, the same volume (5 mL) of normal saline was injected"
1109,4940009,Changes in heart rate after induction and intubation,"Group K, 0.5 mg/kg of ketamine was injected intravenously,","Group N, the same volume (5 mL) of normal saline was injected"
1110,4940009,the incidence of POM,"Group K, 0.5 mg/kg of ketamine was injected intravenously,","Group N, the same volume (5 mL) of normal saline was injected"
1112,3423952,"erythrocyte SOD, total glutathione, glutathione peroxidase, gene transcripts for interferon-gamma, interleukin-10, and interleukin-1? in blood, and decreased plasma nitric oxide.",3000 IU d?1 oral superoxide dismutase (SOD) powder for 6?wks - treatment group (TRT),placebo (cellulose powder) for 6?wks
1125,3611646,"serum cholesterol, serum triglyceride, low density lipoprotein (LDL), and very low density lipoprotein (VLDL) levels","administered with the Granules of Guduchyadi Medhya Rasayana (GMR), which contains Guduchi (Tinospora cordifolia Wild.), Apamarga (Achyranthes aspera Linn.), Vidanga (Embelia ribes Burm. f.), Shankhapushpi (Convolvulus pluricaulis Chois.), Vaca (Acorus calamus Linn.), Haritaki (Terminalia chebula Zetz.), Kushtha (Saussurea lappa C.B. Clarke), Shatavari (Asparagus racemosus Wild.), Cow's ghee and sugar.",administered Sarkaradi Granules (SG).
1127,3611646,overall effect,"administered with the Granules of Guduchyadi Medhya Rasayana (GMR), which contains Guduchi (Tinospora cordifolia Wild.), Apamarga (Achyranthes aspera Linn.), Vidanga (Embelia ribes Burm. f.), Shankhapushpi (Convolvulus pluricaulis Chois.), Vaca (Acorus calamus Linn.), Haritaki (Terminalia chebula Zetz.), Kushtha (Saussurea lappa C.B. Clarke), Shatavari (Asparagus racemosus Wild.), Cow's ghee and sugar.",administered Sarkaradi Granules (SG).
1135,4627811,"brachial and superficial femoral artery diameter, peak blood flow, and FMD",high-intensity interval training (HIT) for 12-weeks in patients NYHA II-III,continuous training (CT) 12-weeks inpatients NYHA II-III
1139,3895597,The VAS scores of abdominal pain at week 4,tiropramide 100,octylonium 20 mg
1147,5626376,"At early follow-up (3 months), total WOMAC scores Western Ontario and McMaster Universities Arthritis Index (WOMAC)",five injections of HA1 (Suprahyal®/Adant®),standard care (control)
1153,5626376,"At 18 months, the higher improvement in total WOMAC",three injections of HA3 (Synvisc®),standard care (control)
1154,5626376,"At 18 months, the higher improvement in total WOMAC",four injections of HA2 (Orthovisc®),standard care (control)
1155,5626376,The percentage of patients achieving the MCII for both pain and function at 18 months,1) five injections of HA1 (Suprahyal®/Adant®); 2) four injections of HA2 (Orthovisc®); 3) three injections of HA3 (Synvisc®); 4) a single injection of PRP (GPSTM II);,standard care (control)
1170,3224529,Proportions of REM sleep duration,neurally adjusted ventilatory assist (NAVA),pressure support ventilation (PSV)
668,1913177,Reherniation,components separation technique (CST),prosthetic repair with e-PTFE patch (PR)
1179,3752932,the Treatment Satisfaction-Visual Analogue Scale (TS-VAS),mirabegron (50 and 100 mg),placebo
1181,5002324,directional control in the LOS test,a balance-based exergaming group for an 8-week balance training period.,a balance training group for an 8-week balance training period.
1186,3971783,The nocturnal enuresis,"breathing exercises were performed for 45 minutes, and were pursued for four weeks in the morning following and prior to sleeping",no breathing exercises 
678,2430614,the parasitological and clinical failure rate at day 28 post treatment,Artesunate+amodiaquine (AS+AQ),artemether-lumefantrine (AL) and Artesunate+chlorproguanil-dapsone (AS+CD)
1205,4280954,HDL-C levels,"high-fat diet enriched with ground flaxseed 15 g/100 g of food, rich in ALA; ","received a high-fat diet (40% energy as fat), deficient in ?-linolenic acid (ALA) "
1207,4280954,the aortic cholesterol content,"high-fat diet enriched with ground flaxseed 15 g/100 g of food, rich in ALA; or enriched with vitamin E, 40 mg ?-tocopherol/100 g of food","received a high-fat diet (40% energy as fat), deficient in ?-linolenic acid (ALA) "
1209,4306068,The proportion of patients who received analgesics,pain score display group,not displayed in the control.
771,2361948,degree of relief of all analysed symptoms,palliative radiotherapy schedules for inoperable symptomatic non-small-cell lung cancer 20?Gy/5 fractions (fr)/5 days (arm A),palliative radiotherapy schedules for inoperable symptomatic non-small-cell lung cancer 16?Gy/2 fr/day 1 and 8 (arm B)
807,3490871,weight change,24-week intervention focussed on improving food choice and minimising weight gain,Usual care comprised of 7?weeks of group support sessions
808,3490871,Smoking cessation,24-week intervention focussed on improving food choice and minimising weight gain,Usual care comprised of 7?weeks of group support sessions
815,4419460,HbA1c at 12 or 24?months.,"The Child and Adolescent Structured Competencies Approach to Diabetes Education (CASCADE) is a structured educational group program, using psychological techniques, delivered primarily by diabetes nurses.",control
822,3329632,ICER (incremental cost-effectiveness ratio),ranibizumab ,ranibizumab combined with laser therapy
830,4819709,Having a bath or shower,Ultrasound?guided foam sclerotherapy,surgery
835,4819709,Partial return to normal work/employment,Ultrasound?guided foam sclerotherapy,surgery
836,4819709,Full return to normal work/employment,Ultrasound?guided foam sclerotherapy,surgery
837,4819709,Going out socially,Ultrasound?guided foam sclerotherapy,surgery
838,4819709,Sporting activity or exercise,Ultrasound?guided foam sclerotherapy,surgery
862,4078386,mean of HCV-RNA numbers in 12 weeks of therapy,20 mg atorvastatin nightly for 3 months,placebo
867,5680306,NF?B activity,"vitamin D group receiving an initial bolus dose of 100,000 IU (in 2 capsules) followed by 4,000 IU (in 4 capsules) of cholecalciferol daily","the placebo group receiving an equivalent number of identical placebo capsules, which were continued daily for a period of 16 weeks"
875,2974815,percentage of patients with controlled blood pressure,"phone calls"" group","""no phone calls"" group"
879,4088715,hospital and ICU length of stay,CPAP + standard of care (nCPAP group),standard group
894,4140547,"The proportion of patients who met the primary end point (composite of acute rejection, graft loss, death by month 6)",belatacept groups,tacrolimus groups
899,1198254,glutathione red-ox ratio,L. fermentum ME-3 fermented goat milk,goat milk
902,4677000,pain in the paediatric population,lidocaine gel (2%),placebo
904,4320624,peak FEV1,Abediterol,salbutamol
912,2774638,difference in mean (SD) dairy calcium,white women,black women
913,4713214,catheter related bladder discomfort During the first three days of post-operative period,"received, intravesically, 40 mL of 20 nM Resiniferatoxin 20 hours before operation.",no treatment before operation.
914,4713214,required tolterodine,"received, intravesically, 40 mL of 20 nM Resiniferatoxin 20 hours before operation.",no treatment before operation.
915,4713214,catheter related bladder discomfort On the fifth day after surgery,"received, intravesically, 40 mL of 20 nM Resiniferatoxin 20 hours before operation.",no treatment before operation.
916,5332489,"International Prostate Symptom Score (IPSS), BPH Impact Index (BII), question 8 of the IPSS (IPSS-Q8)]",fixed-dose combination (FDC) of dutasteride and tamsulosin,watchful waiting (WW)
917,3616124,risk of the primary outcome or preeclampsia,daily doses of 400 IU of vitamin E and 1000 mg of vitamin C from 9-16 weeks gestation until delivery.,placebo from 9-16 weeks gestation until delivery.
929,4183415,patient adherence,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message
930,4183415,Completed treatment,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message
933,5462761,"cold perception threshold, warm perception threshold, cold pain threshold and heat pain threshold",2?mA anodal tDCS when applied over the Pcor for 15?minutes,baseline
940,4918678,Oral reading,soundfield amplification devices in the classroom,nothing
944,5504551,physical activity ,awareness of wearing an accelerometer (nonblinded group),no awareness of wearing an accelerometer (blinded group)
945,5504551,The duration of wearing the accelerometer,awareness of wearing an accelerometer (nonblinded group),no awareness of wearing an accelerometer (blinded group)
950,3278655,subsidence,The trabecular metal tibial monoblock component (TM),cemented component.
951,3278655,"The proportion of ""at risk"" components at 5 years",The trabecular metal tibial monoblock component (TM),cemented component.
952,3597472,"the rate of S. japonicum infection in humans, bovines, snails, cow dung and mice","The routine interventions included praziquantel chemotherapy and controlling snails plus new interventions, mainly consisting of building fences to limit the grazing area for bovines, building safe pastures for grazing, improving the residents' health conditions and facilities,","The routine interventions included praziquantel chemotherapy and controlling snails,"
953,3597472,infection risk in humans,"The routine interventions included praziquantel chemotherapy and controlling snails plus new interventions, mainly consisting of building fences to limit the grazing area for bovines, building safe pastures for grazing, improving the residents' health conditions and facilities,","The routine interventions included praziquantel chemotherapy and controlling snails,"
955,3330821,absolute and relative presenteeism,trained psychotherapists in addition to the pre-existing Employee Assistance Program (EAP),Employee Assistance Program
958,4803984,The mean length of the first and second stages of labor,supportive care or acupuncture group,control groups
962,4889691,return of spontaneous circulation (ROSC),AutoPulse automated chest compression device,manual chest compression for cardiopulmonary resuscitation (CPR) of out-of-hospital cardiac arrest (OHCA)
963,4889691,The 24-h survival rate of OHCA,AutoPulse automated chest compression device,manual chest compression for cardiopulmonary resuscitation (CPR) of out-of-hospital cardiac arrest (OHCA)
965,4889691,The proportion of patients with OHCA and a cerebral performance category score of 1 or 2 points at hospital discharge ,AutoPulse automated chest compression device,manual chest compression for cardiopulmonary resuscitation (CPR) of out-of-hospital cardiac arrest (OHCA)
970,3491047,Long-term adherence to the program,Walking and Behavioural intervention (WB),Self-directed control (C)
974,3798949,Treatment cost,"Academic, non-commercial sponsored trials",Commercial sponsored trials
977,5619630,Improvement in the Hamilton Rating Scale for Depression at 12 weeks,Medication plus exercise,Medication only
985,5062220,Time to tracheal extubation,Bispectral index (BIS) guided anesthesia,Standard end-tidal anesthetic gas (ETAG) guided anesthesia
990,2920262,Single breath counting and functional exercise capacity,Singing classes,Usual care
991,2920262,Recovery time after incremental shuttle walk test,Singing classes,Usual care
992,3074545,Changes in total Composite Abuse Scale score,Non-professional mentor support,Non-mentored group
1003,3878029,Adverse reactions,Hypnotherapy,Relaxation
1011,5018157,IV ephedrine total dosage,Low-dose bupivacaine spinal anesthesia in pre-eclamptic parturients,Low-dose bupivacaine spinal anesthesia in healthy parturients
1012,5018157,One-minute Apgar score,Low-dose bupivacaine spinal anesthesia in pre-eclamptic parturients,Low-dose bupivacaine spinal anesthesia in healthy parturients
1018,3159986,Improvement in myasthenia score,Respiratory muscle endurance training,Baseline characteristics
1021,4895766,Adverse reactions,Katupila Kalka with Tila Taila,Betadine ointment
1284,4132637,stroke incidence,ticagrelor,clopidogrel
1286,4132637,major bleeding,ticagrelor,clopidogrel
1288,4132637,the rate of life-threatening or fatal bleeding or the rate of intracranial bleeding,ticagrelor,clopidogrel
1290,4132637,major or minor bleeding (by TIMI criteria),ticagrelor,clopidogrel
1295,3636800,proportion of data points,completing 6 days of assessment (four sets of questions per day) with a native smartphone application,completing 6 days of assessment (four sets of questions per day) with the SMS text-only implementation
1305,3596913,progression-free survival and overall survival,"receive FU 500 mg/m2 IV bolus weekly ×6 weeks plus leucovorin 500?mg/m2 IV weekly for 6 weeks during each 8-week cycle plus oxaliplatin 85?mg/m2 IV on weeks 1, 3, and 5 of each 8-week (FLOX) ","receive weekly intravenous infusions of oxaliplatin 40?mg/m2, 5-FU 500 mg/m2, and leucovorin 250?mg/m2 (3 weeks on, 1 week off)"
1307,5789132,The mean SEM score,receive the injection with diabetic needle,receive the injection with conventional syringe
1308,5789132,The mean pain score and mean SEM scores in female patients,receive the injection with diabetic needle,receive the injection with conventional syringe
1313,5873424,total sleep time,paracetamol/buprenorphine,placebo tablets
1318,4124480,Mean SGRQ scores,12-weeks of progressive endurance and strength training at a local health club,continuation of unsupervised habitual physical activity
1323,5236513,lower abdominal pain/discomfort scores at week 8,Saccharomyces cerevisiae (S. cerevisiae) CNCM I-3856,placebo
1324,5236513,Bristol Stool Scale (BSS) score,Saccharomyces cerevisiae (S. cerevisiae) CNCM I-3856,placebo
1327,3478519,"total fat, FM%, and percentage of trunk fat",assigned to the dietary fat components who carried the AA genotype of FTO rs1558902,assigned to the dietary fat components without this genotype
1328,4716419,Death and serious infections,enteric-coated mycophenolate sodium (EC-MPS) 1440?mg/day for first 6?months,intravenous cyclophosphamide (CYC) 0.5–1?g/m2 monthly
1332,3917204,"Probing depth (PD), Gingival recession (GR), Clinical attachment level (CAL)",received treatment with rotary instruments,received scaling and root planing with hand instruments
1336,5673730,HbA1C,oral metformin 500 mg TDS (Group-A),insulin 0.8-0.9 mg/kg/day in two divided doses subcutaneously (Group-B)
1212,5397544,Alpha-angle values,Low-molecular-weight heparin before and after the surgery,Low-molecular-weight heparin only before the surgery
831,4819709,Driving a car,Ultrasound?guided foam sclerotherapy,surgery
1216,3743198,Rate of certain diagnosis,Educational program and ED protocol for syncope evaluation,No standardized guidelines or educational programs
1217,3743198,Postural blood pressure measurement,Educational program and ED protocol for syncope evaluation,No standardized guidelines or educational programs
1218,3743198,Cardiac enzymes and electroencephalography testing,Educational program and ED protocol for syncope evaluation,No standardized guidelines or educational programs
1222,3917123,Total score of fatigue,Routine unit care ,Placebo
1227,3452313,headache relief for attacks occurring inside and outside the menstrual period (migraine attacks),sumatriptan for 2 months,placebo for 2 months
1228,5966469,increase of fluency in the double loops tasks,the combined and in the pure handwriting group,the spelling training and the reading groups
1230,2694465,pain intensity,400 ?g of intrathecal morphine followed by general anesthesia,general anesthesia
1231,2694465,Cumulative morphine consumption,400 ?g of intrathecal morphine followed by general anesthesia,general anesthesia
1232,2694465,The plasma morphine concentration,400 ?g of intrathecal morphine followed by general anesthesia,general anesthesia
1234,5506592,"The mean expenditure on the products,",education and mobilisation activities,baseline
1239,5228611,rate of any adverse events,elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide (E/C/F/TAF) 150/150/200/10 mg plus DRV 800 mg (Janssen) once daily,stay on their baseline regimen
1242,3051215,"hsCRP, and adiponectin",anti-inflammatory agent (Diacerein treatment group),placebo
1246,3466198,detectable L. crispatus or L. jensenii,Acidform twice daily for 14 consecutive days,hydroxyethylcellulose (HEC) placebo gel twice daily for 14 consecutive days
1248,3056193,Hamilton Rating Scale for Depression (HAM-D) and the Montgomery-Asberg Rating Scale (MADRS),placeboxetine (PB) hydrochloride extended release capsules,sertraline hydrochloride
1251,5225191,GASE-generic (generic side effects),amitriptyline,placebo pill
1254,3172326,The total number of pethidine injections in first 24 hours postoperatively,received 0.5 mg/kg of ketamine IV 10 minutes before the surgical incision,0.5 mg/kg of normal saline was injected
616,5062234,intraoperative supplemental fentanyl,Transversus abdominis plane block with 0.375% ropivacaine ,local anesthetic infiltration of the port site.
1256,4864053,The BP of the GABA ligand,"MSD, 100 mg l?dopa plus 25 mg carbidopa",placebo (starch)
1257,4488484,support for training first responders to use naloxone,Several message exposures,no-exposure control group
1258,4488484,providing naloxone to friends and family members of people using opioids,Several message exposures,no-exposure control group
1259,4488484,passing laws to protect people who administer naloxone,Several message exposures,no-exposure control group
1262,5414544,HBsAg positivity,male,female
1268,3655855,Red cell and plasma phospholipid eicosapentaenoic acid and docosahexaenoic acid concentrations,1.7 g of Long chain omega-3 fatty acids from fish oils (O3) per day for 4 weeks,safflower oil placebo for 4 weeks
503,2376383,Mucositis throughout the study period,PTA lozenge,Placebo lozenge
1275,4880652,SpO2 at 5 minutes,fentanyl (1 μg/kg) and propofol ,paracetamol (20 mg/kg) and propofol
1277,3585965,the rate and extent of absorption of GLPG0259,GLPG0259 and methotrexate,GLPG0259 
1409,5578640,ESAS QoL-score after three months,vitamin D 4000 IE/day,untreated (control)
1410,5578640,infections after 3 months,vitamin D 4000 IE/day,untreated (control)
1413,4092608,patients reached the target INR in the first hour after ending cardiopulmonary bypass (CPB),prothrombin complex concentrates (PCC),fresh frozen plasma
1414,4092608,received an additional dose of PPSB,prothrombin complex concentrates (PCC),fresh frozen plasma
1417,5456350,scores of the DEKA Usability subscales,completers of in-laboratory (Part A) and home trial (Part B),completers of in-laboratory (Part A) only
1418,5456350,The Overall subscale,completers of in-laboratory (Part A) and home trial (Part B),completers of in-laboratory (Part A) only
1423,5330006,Values of total antioxidant capacity (TAC),receiving 1200 mg of cranberry extract for 6 weeks,placebo group
1424,5330006,interleukin 6 levels during exercise tests,receiving 1200 mg of cranberry extract for 6 weeks,placebo group
1429,5553001,the Beck Depression Inventory-II (BDI-II) difference ,"Internet-based guided self-help program, including weekly support from a therapist via encrypted email",wait-list control condition
1431,5566825,episodes of infection/allergy related to immunity,receive orally daily either CyavanaprÄ?Å›a (CP) (approx. 6 g) followed by a cup of milk (100 – 200 ml),cup of milk only twice a day while continuing with their normal/routine diet.
1432,5566825,absent due to infection/allergy/immunity related illnesses,receive orally daily either CyavanaprÄ?Å›a (CP) (approx. 6 g) followed by a cup of milk (100 – 200 ml),cup of milk only twice a day while continuing with their normal/routine diet.
1438,5336430,The proportional reduction from baseline in the total number of AK lesions per patient ,5-fluorouracil (5-FU) 0.5%/salicylic acid 10%,vehicle
1442,5336430,Treatment-emergent adverse events,5-fluorouracil (5-FU) 0.5%/salicylic acid 10%,vehicle
1447,4859395,plaque components and number of TCFAs per vessel,nebivolol,atenolol
1448,4859395,plaque area,nebivolol,atenolol
1449,4859395,constrictive remodeling,nebivolol,atenolol
1451,4859395,"Among lowâ€? wall shear stress (WSS) segments Î""EEM area ",nebivolol,atenolol
1454,3406743,engaging in vigorous physical activity,enhanced intervention (EIG),baseline
1462,4600230,completed scans during the 2 months of clinical training,simulation-based training followed by clinical training,clinical training only
1463,2837815,rotations or translations,SmartSet HV acrylic bone cements (without antibiotics),Palacos R acrylic bone cements (without antibiotics)
1464,2837815,The mean distal translation,SmartSet HV acrylic bone cements (without antibiotics),Palacos R acrylic bone cements (without antibiotics)
1465,2837815,The mean rotation around the longitudinal axis,SmartSet HV acrylic bone cements (without antibiotics),Palacos R acrylic bone cements (without antibiotics)
1469,4367028,Bispectral index values,Trendelenburg (TBG) tilt >30°,Trendelenburg (TBG) tilt <30°
1472,4222592,self-reported subjective feelings of satisfaction for the AUC(0-5h),consumed a standardized breakfast with Avocado Added (AA),consumed a standardized breakfast [Control (C)avocado-free]
1346,5628593,Maximal voluntary isometric contraction,30-Hz whole-body vibration training,50-Hz whole-body vibration training
